story_name,clause_num,total_bits,wording_bits,semantic_bits
CI,4,23.75304398800208,7.861979139838268,15.89106484816381
CI,5,13.913126785871667,13.215334017084418,0.6977927687872497
CI,6,113.4967061489712,64.04988339292612,49.44682275604509
CI,7,27.338648367135896,3.6102377862641877,23.72841058087171
CI,8,62.56661420941815,39.82510200869622,22.741512200721928
CI,9,12.099477549955486,6.748544178194859,5.350933371760627
CI,10,5.181867546656451,2.8741190267709817,2.3077485198854695
CI,11,34.94027050133185,24.758105105667187,10.182165395664661
CI,12,14.89958626154556,8.700461961236309,6.199124300309251
CI,13,17.771129656257333,10.378946598453098,7.392183057804236
CI,14,31.629838392026667,10.159667356810342,21.47017103521632
CI,15,21.006428787948828,11.671705800584059,9.334722987364769
CI,16,16.693489126872823,3.4967347483719404,13.196754378500883
CI,17,3.232327244251464,1.1457731752705531,2.0865540689809112
CI,18,6.018038934574079,5.244562782558434,0.7734761520156452
CI,19,4.443965653169969,2.6360179933560057,1.8079476598139632
CI,20,8.396935980174044,5.021959444728575,3.3749765354454704
CI,21,23.016903216877825,9.89933240218465,13.117570814693178
CI,22,21.77567828063127,13.898971925727714,7.876706354903551
CI,23,114.06655485077347,85.4413882024125,28.625166648360963
CI,24,18.51975225179442,8.01336789325602,10.506384358538398
CI,25,19.591911373035668,3.935007075692945,15.656904297342724
CI,26,90.90739859764967,41.77607734710495,49.131321250544715
CI,27,10.546647571147089,9.804893277369745,0.7417542937773443
Williams,1,61.50614717289901,44.32342381481131,17.182723358087692
Williams,2,55.5867299710784,46.04899591990705,9.537734051171345
Williams,3,100.69490098425612,47.74280212994106,52.95209885431506
Williams,4,34.99160665128381,5.883127492642718,29.10847915864109
Williams,5,44.468934906003405,23.499115047603283,20.969819858400122
Williams,6,28.40992691637582,12.918742353920003,15.49118456245582
Williams,7,23.839866332069587,11.965985984823167,11.873880347246418
Williams,8,57.10480019268697,34.03435946885425,23.070440723832725
Williams,9,34.86938615183438,34.7172269135687,0.15215923826567238
Williams,10,21.875356666315795,11.224914129658092,10.650442536657703
Williams,11,13.864322239234582,10.280963271383753,3.5833589678508297
Williams,12,30.295891410877495,12.515978261632307,17.77991314924519
Williams,13,33.49537410632533,14.462920916740302,19.03245318958503
Williams,14,55.69653470250429,41.8336653834117,13.862869319092594
Williams,15,29.555017675828683,16.037373937840947,13.517643737987735
Williams,16,99.74916975234021,71.13110670994935,28.61806304239086
Williams,17,39.14074175802508,10.037050581926627,29.103691176098454
Williams,18,33.39393460751182,16.70301008863259,16.690924518879232
Williams,19,191.02095970157265,142.92723589882968,48.09372380274295
Williams,20,48.05026859965654,36.476259963973725,11.574008635682812
Williams,21,52.17124808007868,26.173767213976287,25.997480866102396
Williams,22,24.70967477089632,6.461968799154101,18.247705971742224
Williams,23,39.42192376505936,27.64226241318885,11.779661351870514
Williams,24,21.076872862987198,10.842754916681116,10.234117946306084
Williams,25,5.326982371936046,3.9237360206859995,1.4032463512500462
Williams,26,16.83226400571211,8.364531696307731,8.46773230940438
